NC Code,Distiller,Brand Name,Age,Proof,Size,Retail Price,MB Price
"51-041","Sazerac NA","Meukow VS","006Y","80",".375L","9.9500","11.8300",
"51-055","Heaven Hill","Ansac VS","","80","1.75L","44.9500","53.7000",
"51-056","Heaven Hill","Ansac VS","","80",".75L","22.9500","26.7000",
"51-058","Heaven Hill","Ansac VS","","80",".375L","10.7500","12.6300",
"51-151","Jim Beam Brands","Courvoisier XO","","80",".75L","129.9500","133.7000",
"51-154","Jim Beam Brands","Courvoisier VS","","80","1.75L","59.9500","68.7000",
"51-156","Jim Beam Brands","Courvoisier VS","002Y","80",".75L","28.9500","32.7000",
"51-159","Jim Beam Brands","Courvoisier VS","002Y","80",".375L","11.9500","13.8300",
"51-161","Jim Beam Brands","Courvoisier 12Y","012Y","80",".75L","49.9500","53.7000",
"51-166","Jim Beam Brands","Courvoisier C","","80",".75L","37.9500","41.7000",
"51-167","Jim Beam Brands","Courvoisier C","","80",".375L","18.9500","20.8300",
"51-169","Jim Beam Brands","Courvoisier VSOP","004Y","80",".75L","37.9500","41.7000",
"51-170","Jim Beam Brands","Courvoisier VSOP","004Y","80",".375L","16.9500","18.8300",
"51-172","Jim Beam Brands","Courvoisier Rose","004Y","36",".75L","28.9500","32.7000",
"51-173","Jim Beam Brands","Courvoisier Rose","004Y","36",".375L","13.9500","15.8300",
"51-218","Moet Hennessy","Hennessy VSOP","","80",".75L","49.9500","53.7000",
"51-219","Moet Hennessy","Hennessy VSOP","","80",".375L","25.9500","27.8300",
"51-220","Moet Hennessy","Hennessy VS","","80","1.75L","69.9500","78.7000",
"51-221","Moet Hennessy","Hennessy VS","","80",".75L","32.9500","36.7000",
"51-223","Moet Hennessy","Hennessy VS","","80",".375L","13.9500","15.8300",
"51-226","Moet Hennessy","Hennessy XO","","80",".75L","189.9500","193.7000",
"51-230","Moet Hennessy","Hennessy Richard","","80",".75L","3161.9500","3165.7000",
"51-239","Moet Hennessy","Hennessy Black","","86",".75L","38.9500","42.7000",
"51-240","Moet Hennessy","Hennessy Black","","86",".375L","22.9500","24.8300",
"51-246","Sidney Frank","JC Cognac VSOP","","80",".75L","29.9500","33.7000",
"51-270","Pernod Ricard","Martell VS","","80",".75L","29.9500","33.7000",
"51-303","Remy Cointreau","Remy Martin XO Excellence","","80",".75L","149.9500","153.7000",
"51-307","Remy Cointreau","Remy Martin Louis XIII","","80",".75L","2239.9500","2243.7000",
"51-309","Remy Cointreau","Remy Martin 1738 Accord Royal","","80",".75L","49.9500","53.7000",
"51-310","Remy Cointreau","Remy Martin 1738 Accord Royal","","80",".375L","23.9500","25.8300",
"51-311","Remy Cointreau","Remy Martin VSOP","","80","1.75L","99.9500","108.7000",
"51-312","Remy Cointreau","Remy Martin VSOP","","80",".75L","39.9500","43.7000",
"51-316","Remy Cointreau","Remy Martin VSOP","","80",".375L","18.9500","20.8300",
"51-318","Remy Cointreau","Remy Martin VS Grand Cru","","80",".75L","29.9500","33.7000",
"51-320","Remy Cointreau","Remy Martin VS Grand Cru","","80",".375L","13.9500","15.8300",
"51-322","Remy Cointreau","Remy Martin V","","80",".75L","39.9500","43.7000",
"51-323","Remy Cointreau","Remy Martin V","","80",".375L","18.9500","20.8300",
"51-324","Jim Beam Brands","Salignac VS","002Y","80",".75L","19.9500","23.7000",
"51-326","Jim Beam Brands","Salignac VS","002Y","80",".375L","9.9500","11.8300",
"51-451","Luxco","Salvador's Original Margarita","","26","1.75L","9.9500","18.7000",
"51-454","Luxco","Salvador's Orig. Marg - 4Pk (1.95x4)","","26","200ML","1.9500","2.9500",
"51-486","Diageo NA","Jose Cuervo Authentic Watermelon Marg","","19.9","1.75L","17.9500","26.7000",
"51-489","Diageo NA","Jose Cuervo Authentic Grapefruit Tangerine","","19.9","1.75L","17.9500","26.7000",
"51-490","Diageo NA","Jose Cuervo Authentic Light Wild Berry Margarita","","19.9","1.75L","15.9500","24.7000",
"51-491","Diageo NA","Jose Cuervo Golden Marg","","25.4","1.75L","19.9500","28.7000",
"51-492","Diageo NA","Jose Cuervo Golden Marg","","25.4",".75L","9.9500","13.7000",
"51-495","Diageo NA","Jose Cuervo Authentic Lime Marg","","19.9","1.75L","17.9500","26.7000",
"51-496","Diageo NA","Jose Cuervo Authentic Lime Marg","","19.9",".75L","8.9500","12.7000",
"51-498","Diageo NA","Jose Cuervo Authentic Lime Marg","","19.9","200ML","2.4500","3.4500",
"51-499","Diageo NA","Jose Cuervo Authentic Mango Marg","","19.9","1.75L","17.9500","26.7000",
"51-502","Diageo NA","Jose Cuervo Authentic Light Margarita","","19.9","1.75L","17.9500","26.7000",
"51-503","Diageo NA","Jose Cuervo Authentic Light Marg","","19.9",".75L","8.9500","12.7000",
"51-510","Jim Beam Brands","Skinnygirl Margarita","","25",".75L","14.9500","18.7000",
"51-513","Jim Beam Brands","Skinnygirl White Cranberry Cosmo","","19.9",".75L","14.9500","18.7000",
"51-514","Jim Beam Brands","Skinnygirl Pina Colada","","19.9",".75L","14.9500","18.7000",
"51-519","Proximo Spirits","1800 RTD Ultimate Marg","","19.9","1.75L","20.9500","29.7000",
"51-521","Proximo Spirits","1800 RTD Pineapple","","19.9","1.75L","20.9500","29.7000",
"51-532","Diageo NA","TGI Fri.OTR Censored On Beach","","15",".75L","8.3500","12.1000",
"51-535","Sazerac","Firefly Southern Lemonade RTD","","25","1.75L","19.9500","28.7000",
"51-537","Sazerac","Firefly Sweet Tea Lemonade RTD","","25","1.75L","19.9500","28.7000",
"51-541","Sazerac","Firefly Pink Lemonade","","25","1.75L","19.9500","28.7000",
"51-596","Bacardi","Bacardi Classic Cocktails Light Pina Colada","","25","1.75L","17.9500","26.7000",
"51-602","Bacardi","Bacardi Classic Cocktails Light Mojito","","25","1.75L","17.9500","26.7000",
"51-606","Black Prince","TJ Toad Margarita","","25","1.75L","10.2500","19.0000",
"51-607","Pernod Ricard","Kahlua RTD White Russian","","25","1.75L","14.9500","23.7000",
"51-621","Pernod Ricard","Kahlua RTD Mudslide","","25","1.75L","14.9500","23.7000",
"51-637","Bacardi","Bacardi Classic Mojito","","30","1.75L","17.9500","26.7000",
"51-640","Diageo NA","Smirnoff Vodka Mojito","","30","1.75L","15.9500","24.7000",
"51-641","Diageo NA","Smirnoff Vodka Mojito","","30",".75L","9.9500","13.7000",
"51-768","Sazerac NA","Barton Long Island Iced Tea","","75","1.75L","14.9500","23.7000",
"51-769","Sazerac NA","Barton Long Island Iced Tea","","75",".75L","7.7500","11.5000",
"51-775","Sazerac","Desert Island Long Island Iced Tea","","75","1.75L","15.9500","24.7000",
"51-776","Sazerac","Desert Island Long Island Iced Tea","","75",".75L","7.9500","11.7000",
"51-788","Black Prince","TJ Toad Long Island Iced Tea","","75","1.75L","16.9500","25.7000",
"51-789","Black Prince","TJ Toad Long Island Iced Tea","","75",".75L","8.5000","12.2500",
"51-795","Montebello Brands","Montebello Long Island Iced Tea","","42","1.75L","14.1000","22.8500",
"51-796","Montebello Brands","Montebello Long Island Iced Tea","","42",".75L","7.3500","11.1000",
"51-798","Montebello Brands","Montebello Long Island Iced Tea","","42",".375L","4.0000","5.8800",
"51-802","Diageo NA","Capt. Morgan Long Island Iced Tea","","34","1.75L","15.9500","24.7000",
"51-803","Diageo NA","Capt. Morgan Long Island Iced Tea","","34",".75L","9.9500","13.7000",
"51-880","Brown - Forman","New Mix Margarita (4x1.85)","","10",".355L","1.8500","3.6200",
"51-892","Brown - Forman","Southern Comfort Hurricane RTD","","30","1.75L","14.9500","23.7000",
"51-895","Brown - Forman","New Mix Paloma (4x1.85)","","10",".355L","1.8500","3.6200",
"51-897","Bacardi","Party Drinks - Bahama Mama","","20","1.75L","15.9500","24.7000",
"51-898","Bacardi","Party Drinks - Bahama Mama","","20",".75L","9.9500","13.7000",
"51-901","Bacardi","Party Drinks - Hurricane","","25","1.75L","15.9500","24.7000",
"51-902","Bacardi","Party Drinks - Hurricane","","25",".75L","9.9500","13.7000",
"51-905","Bacardi","Party Drinks - Rum Island Iced Tea","","25","1.75L","15.9500","24.7000",
"51-909","Bacardi","Party Drinks - Zombie","","25","1.75L","15.9500","24.7000",
"51-913","Bacardi","Party Drinks - Rum Runner","","25","1.75L","15.9500","24.7000",
"51-917","Bacardi","Party Drinks - Mai Tai","","20","1.75L","15.9500","24.7000",
"51-920","Bacardi","Bacardi Classic Strawberry Daiquiri","","30","1.75L","17.9500","26.7000",
"51-923","Bacardi","Bacardi Classic Piña Colada","","30","1.75L","17.9500","26.7000",
"51-926","Pernod Ricard","Malibu Rum Punch Cocktail","","30","1.75L","17.9500","26.7000",
"51-929","Pernod Ricard","Malibu Tropical Mojito Cocktail","","30","1.75L","17.9500","26.7000",
"51-932","Pernod Ricard","Malibu Caribbean Cosmo Cocktail","","30","1.75L","17.9500","26.7000",
"51-935","Pernod Ricard","Malibu Sea Breeze Cocktail","","30","1.75L","17.9500","26.7000",
"51-952","Bacardi","Bacardi Classic Daiquiri","","30","1.75L","17.9500","26.7000",
"51-975","Diageo NA","Smirnoff Tuscan Lemonade","","30","1.75L","15.9500","24.7000",
"51-983","Diageo NA","Smirnoff Pomegranate Martini","","30","1.75L","15.9500","24.7000",
"51-984","Diageo NA","Smirnoff Pomegranate Martini","","30",".75L","9.9500","13.7000",
"51-987","Diageo NA","Smirnoff Grand Cosmopolitan","","30","1.75L","15.9500","24.7000",
"52-024","Sazerac NA","Chi Chi's Mango Marg","","20","1.75L","10.9500","19.7000",
"52-028","Sazerac NA","Chi Chi's White Russian","","25","1.75L","10.9500","19.7000",
"52-031","Sazerac NA","Chi Chi's Strawberry Marg","","20","1.75L","10.9500","19.7000",
"52-034","Sazerac NA","Chi Chi's Long Island Iced Tea","","25","1.75L","10.9500","19.7000",
"52-100","Sazerac NA","Chi Chi's Pina Colada","","25","1.75L","10.9500","19.7000",
"52-105","Sazerac NA","Chi Chi's Gold Marg","","25","1.75L","10.9500","19.7000",
"52-112","Sazerac NA","Chi Chi's Skinny Margarita","","20","1.75L","10.9500","19.7000",
"52-123","Sazerac NA","Chi Chi's Margarita","","20","1.75L","10.9500","19.7000",
"52-160","Sazerac NA","Mr. Boston Egg Nog","","30",".75L","6.9500","10.7000",
"52-325","Sazerac","Ice Box Mudslide","","25","1.75L","12.9500","21.7000",
"52-437","The Wine Group","Lulu B Cran Cosmo","","25.4",".75L","12.9500","16.7000",
"52-440","The Wine Group","Lulu B Margarita","","25.4",".75L","12.9500","16.7000",
"52-443","The Wine Group","Lulu B Chocolate Martini","","30",".75L","12.9500","16.7000",
"52-460","McCormick","Tarantula Strawberry RTD Marg-4Pk(2.25x4)","","11","200ML","2.2500","3.2500",
"52-472","McCormick","Tarantula Azul RTD Marg-4Pk(2.25x4)","","11","200ML","2.2500","3.2500",
"52-479","Diageo NA","The Club RTD Brass Monkey","","32",".75L","5.9500","9.7000",
"52-502","Diageo NA","TGI Friday's Blenders Orange Dream","","25","1.75L","15.9500","24.7000",
"52-509","Diageo NA","TGI Friday's OTR Mudslide","","20",".75L","8.9500","12.7000",
"52-512","Diageo NA","TGI Friday's Blenders Mudslide","","25","1.75L","15.9500","24.7000",
"52-659","Diageo NA","TGI Friday's OTR Pina Colada","","20",".75L","8.9500","12.7000",
"52-718","Brown - Forman","Jack Daniel's and Cola","","10",".355L","2.4500","4.2200",
"52-719","Brown - Forman","Jack Daniel's and Diet Cola","","10",".355L","2.4500","4.2200",
"52-720","Brown - Forman","Jack Daniel's and Ginger","","10",".355L","2.4500","4.2200",
"54-296","Charles Jacquin","Jacquin's Apricot","","66",".75L","12.3500","16.1000",
"54-346","Sazerac NA","Mr. Boston Apricot","","70",".75L","8.7500","12.5000",
"54-776","Pernod Ricard","HW Blackberry","","70",".75L","8.9500","12.7000",
"54-872","Sazerac NA","Mr. Boston Blackberry","","70",".75L","8.7500","12.5000",
"55-211","Luxco","Arrow Wild Cherry","","60",".75L","10.9500","14.7000",
"55-862","Charles Jacquin","Jacquin's Peach","","66",".75L","12.3500","16.1000",
"55-899","Sazerac NA","Mr. Boston Peach","","70",".75L","8.7500","12.5000",
"56-127","Luxco","Arrow Coffee","","60",".75L","10.9500","14.7000",
"56-613","Luxco","Arrow Sloe","","34",".75L","10.9500","14.7000",
"56-810","Ole Smoky Distillery","Ole Smoky Tennessee Moonshine Apple Pie Moonshine","","40",".75L","26.9500","30.7000",
"56-811","Ole Smoky Distillery","Ole Smoky Tennessee Moonshine Cherries","","100",".75L","26.9500","30.7000",
"56-814","Heaven Hill","Pama Pomegranate","","34",".75L","19.9500","23.7000",
"56-834","White Rock","Blackmaker Rootbeer","","70",".75L","19.9500","23.7000",
"56-875","US Distilled Products","Kinky Liqueur","","34",".75L","19.9500","23.7000",
"56-889","Diageo NA","Stirrings Peach Liqueur","","36",".75L","11.9500","15.7000",
"56-895","Diageo NA","Stirrings Triple Sec","","60",".75L","7.9500","11.7000",
"56-938","B M Distilled Spirits","Fabrizia Limoncello","","54",".75L","17.9500","21.7000",
"56-979","Diageo NA","Qream Strawberry","","25",".75L","29.9500","33.7000",
"56-982","Diageo NA","Qream Peach","","25",".75L","29.9500","33.7000",
"57-038","M. S. Walker","Choco Lat Deluxe Chocolate Liqueur","","30",".75L","12.9500","16.7000",
"57-761","Jim Beam Brands","After Shock","","80",".75L","19.9500","23.7000",
"57-780","Heaven Hill","Christian Bros. Honey Liqueur","","70",".75L","11.7500","15.5000",
"57-799","Sazerac NA","99 Bananas","","99",".75L","16.9500","20.7000",
"57-800","Sazerac NA","99 Bananas","","99",".375L","7.9500","9.8300",
"57-806","Sazerac NA","99 Apples","","99",".75L","16.9500","20.7000",
"57-815","Sazerac NA","99 Whipped Cream","","99",".75L","16.9500","20.7000",
"57-822","Heaven Hill","Aristocrat Tangy Sour Apple","","30",".75L","6.5000","10.2500",
"58-063","Heaven Hill","Melone Melon","","42",".75L","7.7500","11.5000",
"58-067","Jim Beam Brands","DeKuyper Melon","","46",".75L","9.9500","13.7000",
"58-083","Jim Beam Brands","DeKuyper Kamikaze","","40",".75L","10.9500","14.7000",
"58-095","Jim Beam Brands","DeKuyper Sex on the Beach","","40",".75L","10.9500","14.7000",
"58-259","Heaven Hill","Amarito Amaretto","","43",".75L","6.7500","10.5000",
"58-284","Luxco","Arrow Kirsch","","90",".75L","10.9500","14.7000",
"58-287","Luxco","Arrow Amaretto","","34",".75L","9.4500","13.2000",
"58-311","William Grant","Bols Amaretto","","56",".75L","10.9500","14.7000",
"58-320","Jim Beam Brands","DeKuyper Amaretto","","42",".75L","9.9500","13.7000",
"58-472","Sazerac NA","Amaretto Di Amore Classico","","42","1.75L","24.9500","33.7000",
"58-473","Sazerac NA","Amaretto Di Amore Classico","","42",".75L","11.9500","15.7000",
"58-475","Sazerac NA","Amaretto Di Amore Classico","","42",".375L","7.2500","9.1300",
"58-664","Heaven Hill","Liquore Amaretto","","42",".75L","7.7500","11.5000",
"59-400","E & J Gallo Winery","E & J Cask & Cream","","34",".75L","9.9500","13.7000",
"59-401","E & J Gallo Winery","E & J Cask & Cream","","34",".375L","5.9500","7.8300",
"59-412","Luxco","Arrow Creme De Cacao - Brown","","34",".75L","9.4500","13.2000",
"59-467","Jim Beam Brands","DeKuyper Creme De Cacao-Dark","","54",".75L","9.9500","13.7000",
"59-625","Luxco","Arrow Creme De Cacao - White","","34",".75L","9.4500","13.2000",
"59-821","Jim Beam Brands","DeKuyper Creme De Menthe-Green","","60",".75L","9.9500","13.7000",
"60-156","Luxco","Arrow Creme De Banana","","34",".75L","10.9500","14.7000",
"60-164","Luxco","Arrow Creme De Cassis","","34",".75L","10.9500","14.7000",
"60-740","Jim Beam Brands","DeKuyper Watermelon Pucker","","30",".75L","10.9500","14.7000",
"60-743","Charles Jacquin","Jacquin's Nirvana Banana","","100",".375L","5.4500","7.3300",
"60-861","Jim Beam Brands","DeKuyper Buttershots","","30",".75L","10.9500","14.7000",
"60-873","Heaven Hill","Mohawk Butterscotch Schnapps","","30",".75L","6.5000","10.2500",
"60-885","Luxco","Arrow Raspberry Schnapps","","34",".75L","9.4500","13.2000",
"60-909","Jim Beam Brands","DeKuyper Razzmatazz","","33",".75L","9.9500","13.7000",
"60-969","Sazerac NA","Boston Peach Orchard Schnapps","","30",".75L","6.7500","10.5000",
"60-975","Luxco","Arrow Peach Schnapps","","34",".75L","6.9500","10.7000",
"60-979","Jim Beam Brands","DeKuyper Peachtree TRV","","30",".75L","10.9500","14.7000",
"60-980","Jim Beam Brands","DeKuyper Peachtree","","30","1.75L","19.9500","28.7000",
"60-981","Jim Beam Brands","DeKuyper Peachtree","","30",".75L","10.9500","14.7000",
"60-983","Jim Beam Brands","DeKuyper Peachtree","","30",".375L","5.9500","7.8300",
"60-993","Pernod Ricard","HW Peach Schnapps","","30",".75L","8.9500","12.7000",
"61-004","Heaven Hill","Aristocrat Peach Schnapps","","30","1.75L","14.2500","23.0000",
"61-005","Heaven Hill","Aristocrat Peach Schnapps","","30",".75L","6.9500","10.7000",
"61-040","Jim Beam Brands","DeKuyper Sour Apple Pucker","","30","1.75L","19.9500","28.7000",
"61-041","Jim Beam Brands","DeKuyper Sour Apple Pucker","","30",".75L","10.9500","14.7000",
"61-042","Jim Beam Brands","DeKuyper Sour Apple Pucker","","30",".375L","5.9500","7.8300",
"61-050","Jim Beam Brands","DeKuyper Island Punch Pucker","","30",".75L","10.9500","14.7000",
"61-159","Sazerac","Fire Water Hot Cinnamon Schnapps","","100",".75L","16.9500","20.7000",
"61-161","Jim Beam Brands","DeKuyper Hot Damn!","","30",".75L","10.9500","14.7000",
"61-212","Castle Brands","Travis Hasse's Apple Pie","","40",".75L","15.9500","19.7000",
"61-218","Luxco","Arrow Anisette","","60",".75L","10.9500","14.7000",
"61-312","Luxco","Arrow Blue Curacao","","34",".75L","9.4500","13.2000",
"61-332","Jim Beam Brands","DeKuyper Blue Curacao","","48",".75L","9.9500","13.7000",
"61-448","Luxco","Arrow Peppermint Schnapps","","54",".75L","9.4500","13.2000",
"61-452","Luxco","Arrow Peppermint Schnapps","","54",".375L","4.5000","6.3800",
"61-502","Jim Beam Brands","DeKuyper Peppermint Schnapps","","60",".75L","10.9500","14.7000",
"61-716","Charles Jacquin","Jacquin's Rock & Rye","","54",".75L","12.2500","16.0000",
"61-718","Charles Jacquin","Jacquin's Rock & Rye","","54",".375L","6.3000","8.1800",
"61-747","Sazerac NA","Mr. Boston Rock & Rye","","54",".75L","10.9500","14.7000",
"61-768","Jim Beam Brands","DeKuyper O3","","80",".75L","19.9500","23.7000",
"61-771","M. S. Walker","Allen's Triple Sec","","30",".75L","3.9500","7.7000",
"61-775","Heaven Hill","Aristocrat Triple Sec","","30",".75L","3.6000","7.3500",
"61-786","Luxco","Arrow Triple Sec","","30",".75L","5.4500","9.2000",
"61-790","William Grant","Bols Triple Sec","","42",".75L","7.9500","11.7000",
"61-814","Jim Beam Brands","DeKuyper Triple Sec","","30",".75L","7.9500","11.7000",
"61-815","Jim Beam Brands","DeKuyper Triple Sec","","48",".375L","5.0000","6.8800",
"61-843","Pernod Ricard","HW Triple Sec","","30",".75L","7.4500","11.2000",
"61-865","Luxco","Juarez Triple Sec","","30",".75L","3.4500","7.2000",
"61-885","Heaven Hill","Mohawk Triple Sec","","30",".75L","3.5000","7.2500",
"61-895","Sazerac NA","Montezuma Triple Sec","","30",".75L","3.5000","7.2500",
"61-934","Diageo NA","Seagram's 7 Crown Stone Cherry","","71",".75L","14.9500","18.7000",
"61-937","Diageo NA","Seagram's 7 Crown Dark Honey","","71",".75L","14.9500","18.7000",
"61-940","VeeV Spirits","VeeV","","60",".75L","29.9500","33.7000",
"61-941","Heaven Hill","Evan Williams Cinnamon Reserve","","70",".75L","13.9500","17.7000",
"61-943","Heaven Hill","Evan Williams Honey Reserve","","70","1.75L","27.9500","36.7000",
"61-944","Heaven Hill","Evan Williams Honey Reserve","","70",".75L","13.9500","17.7000",
"61-947","Heaven Hill","Evan Williams Cherry Reserve","","70",".75L","13.9500","17.7000",
"61-949","Campari America","Wild Turkey American Honey","","71","1.75L","46.9500","55.7000",
"61-950","Campari America","Wild Turkey American Honey","","71",".75L","22.9500","26.7000",
"61-951","Campari America","Wild Turkey American Honey","","71",".375L","12.4500","14.3300",
"61-956","Brown - Forman","Southern Comfort 100","","100","1.75L","39.9500","48.7000",
"61-958","Brown - Forman","Southern Comfort 100","","100",".75L","19.9500","23.7000",
"61-960","Brown - Forman","Southern Comfort 100","","100",".375L","9.9500","11.8300",
"61-962","Brown - Forman","Southern Comfort & Lime","","55",".75L","13.9500","17.7000",
"61-965","Brown - Forman","Southern Comfort Fiery Pepper","","70",".75L","13.9500","17.7000",
"61-968","Brown - Forman","Southern Comfort Black Cherry","","70",".75L","13.9500","17.7000",
"61-970","Brown - Forman","Southern Comfort 70","","70","1.75L","29.9500","38.7000",
"61-971","Brown - Forman","Southern Comfort 70","","70",".75L","13.9500","17.7000",
"61-972","Brown - Forman","Southern Comfort 70 (PET)","","70",".75L","13.9500","17.7000",
"61-973","Brown - Forman","Southern Comfort 70","","70",".375L","8.5000","10.3800",
"61-987","Heaven Hill","Southern Host","","100",".75L","11.1500","14.9000",
"62-011","Southern Artisan Spirits","Cardinal Gin","","84",".75L","29.9500","33.7000",
"62-017","Asheville Distilling Co.","Troy & Sons Moonshine","","80",".75L","29.9500","33.7000",
"62-026","Carolina Distillery","Carriage House Strawberry Infusion","","60",".75L","19.9500","23.7000",
"62-028","Piedmont Dist","Catdaddy Carolina Moonshine","","80",".75L","21.9500","25.7000",
"62-031","Piedmont Dist","Junior Johnson's Midnight Moon","","80",".75L","21.9500","25.7000",
"62-033","Piedmont Dist","Junior Johnson's Blueberry","","100",".75L","21.9500","25.7000",
"62-036","Piedmont Dist","Junior Johnson's Apple Pie","","70",".75L","21.9500","25.7000",
"62-037","Piedmont Dist","Junior Johnson's Cherry","","100",".75L","21.9500","25.7000",
"62-038","Piedmont Dist","Junior Johnson's Strawberry","","100",".75L","21.9500","25.7000",
"62-039","Piedmont Dist","Junior Johnson's Cranberry","","100",".75L","21.9500","25.7000",
"62-040","Carolina Distillery","Carriage House Apple Brandy","008M","80",".75L","23.9500","27.7000",
"62-044","Luxco","Everclear 151","","151","1.75L","34.9500","43.7000",
"62-045","Luxco","Everclear 151","","151",".75L","18.9500","22.7000",
"62-047","Luxco","Everclear 151","","151",".375L","10.5000","12.3800",
"62-059","Sazerac","Buffalo Trace White Dog Mash","","125",".375L","15.9500","17.8300",
"62-119","TY KU","Ty-Ku Premium Soju","001Y","40",".75L","24.9500","28.7000",
"62-121","TY KU","Ty-Ku Premium Liqueur","","40",".75L","24.9500","28.7000",
"62-201","Patron Spirits","Patron Citr'onge","","80",".75L","24.9500","28.7000",
"62-202","Patron Spirits","Patron Citr'onge","","80",".375L","13.9500","15.8300",
"62-264","MHW/ La Fee","NV Absinthe Verte","","76",".75L","21.9500","25.7000",
"62-265","Luctor Intl.","Lucid Absinthe Superieure","","124",".75L","59.9500","63.7000",
"62-267","MHW/ Crillon","Absente (Absinthe Refined)","","110",".75L","42.9500","46.7000",
"62-288","Anchor Distilling","Luxardo Maraschino (6)","","64",".75L","28.9500","32.7000",
"62-297","Cooper Spirits","St. Germain Elderflower Liqueur","","40",".75L","35.9500","39.7000",
"62-324","Palm Bay Imports","Aperol","","22",".75L","23.9500","27.7000",
"62-369","Palm Bay Imports","OR-G","","34",".75L","24.9500","28.7000",
"62-375","Artisan Brands","Gran Sierpe Pisco","","84",".75L","25.9500","29.7000",
"62-460","Aveníu Brnds-A.V.Brands","Amarula Cream Liqueur","","34",".75L","19.9500","23.7000",
"62-497","Laird & Company","Moletto Grappa di Barbera","006M","86",".75L","33.9500","37.7000",
"62-501","Diageo NA","Godiva Chocolate","","30",".75L","29.9500","33.7000",
"62-503","Diageo NA","Godiva White Chocolate","","30",".75L","29.9500","33.7000",
"62-990","Sidney Frank","Barenjager Honey","","70",".75L","27.5000","31.2500",
"62-993","Sidney Frank","Jagermeister","","70","1.75L","46.9500","55.7000",
"62-994","Sidney Frank","Jagermeister","","70",".75L","21.9500","25.7000",
"62-995","Sidney Frank","Jagermeister","","70",".375L","11.9500","13.8300",
"62-999","Luxco","St. Brendan's Superior Irish Cream","","34","1.75L","26.9500","35.7000",
"63-000","Luxco","St. Brendan's Superior Irish Cream","","34",".75L","10.9500","14.7000",
"63-008","Monsieur Henri","Feeney's Irish Cream","","34",".75L","9.9500","13.7000",
"63-013","Bacardi","B & B DOM","","80",".75L","31.9500","35.7000",
"63-015","Bacardi","B & B DOM","","80",".375L","21.9500","23.8300",
"63-018","Diageo NA","Bailey's Original Irish Cream","","34","1.75L","39.9500","48.7000",
"63-019","Diageo NA","Bailey's Original Irish Cream","","34",".75L","19.9500","23.7000",
"63-021","Diageo NA","Bailey's Original Irish Cream","","34",".375L","11.9500","13.8300",
"63-024","Diageo NA","Bailey's Coffee Irish Cream","","34",".75L","19.9500","23.7000",
"63-026","Diageo NA","Bailey's Mint Choc Irish Cream","","34",".75L","19.9500","23.7000",
"63-033","Frederick Wildman&Sons","Chartreuse Green - 3/case","","110",".75L","59.5000","63.2500",
"63-040","Diageo NA","Bailey's Caramel Irish Cream","","34",".75L","19.9500","23.7000",
"63-047","Bacardi","Drambuie","","80",".75L","31.9500","35.7000",
"63-049","Bacardi","Drambuie","","80",".375L","21.9500","23.8300",
"63-050","Heaven Hill","Hpnotiq","","34","1.75L","44.9500","53.7000",
"63-052","Heaven Hill","Hpnotiq","","34",".75L","22.9500","26.7000",
"63-053","Heaven Hill","Hpnotiq","","34",".375L","9.9500","11.8300",
"63-055","Heaven Hill","Hpnotiq Harmonie","","34",".75L","22.9500","26.7000",
"63-056","Heaven Hill","Hpnotiq Harmonie","","34",".375L","9.9500","11.8300",
"63-059","Moet Hennessy","Grand Marnier Cordon Rouge","","80","1.75L","79.9500","88.7000",
"63-060","Moet Hennessy","Grand Marnier Cordon Rouge","","80",".75L","39.9500","43.7000",
"63-062","Moet Hennessy","Grand Marnier Cordon Rouge","","80",".375L","22.9500","24.8300",
"63-065","Moet Hennessy","Grand Marnier 150Y","150Y","80",".75L","234.9500","238.7000",
"63-068","Moet Hennessy","Grand Marnier Quintessence","","80",".75L","799.0000","802.7500",
"63-079","MHW/ Lucas Bols","Galliano L'Autentico","","84.6",".375L","21.0000","22.8800",
"63-131","Heaven Hill","Copa De Oro Coffee","","42","1.75L","19.9500","28.7000",
"63-132","Heaven Hill","Copa De Oro Coffee","","42",".75L","9.5000","13.2500",
"63-145","Jim Beam Brands","Kamora Coffee","","40","1.75L","22.9500","31.7000",
"63-147","Jim Beam Brands","Kamora Coffee","","40",".75L","10.9500","14.7000",
"63-150","Pernod Ricard","Kahlua Hazelnut","","40",".75L","18.9500","22.7000",
"63-152","Pernod Ricard","Kahlua French Vanilla","","40",".75L","18.9500","22.7000",
"63-154","Pernod Ricard","Kahlua Especial","","70",".75L","24.9500","28.7000",
"63-156","Pernod Ricard","Kahlua","","40","1.75L","36.9500","45.7000",
"63-157","Pernod Ricard","Kahlua","","40",".75L","18.9500","22.7000",
"63-160","Pernod Ricard","Kahlua","","40",".375L","12.4500","14.3300",
"63-162","Sazerac","Kapali Coffee","","40","1.75L","20.9500","29.7000",
"63-163","Sazerac","Kapali Coffee","","40",".75L","10.9500","14.7000",
"63-168","Luxco","Caffe Lolita","","40",".75L","8.2500","12.0000",
"63-172","Pernod Ricard","Kahlua Mocha","","40",".75L","18.9500","22.7000",
"63-175","Pernod Ricard","Kahlua Cinnamon Spice","","40",".75L","18.9500","22.7000",
"63-184","Sazerac NA","Sabroso Mexican Coffee","","48",".75L","8.4500","12.2000",
"63-213","Bacardi","Tia Maria Coffee","","53",".75L","25.9500","29.7000",
